,name
713, A Hole Lotta Love Cafe
714, Spice Terrace
715, Smally's Restocafe
716, Halli Mane
717, Hotel Empire Restaurant
718," Rajdhani Thali Restaurant, Bannerghatta Road, Bangalore"
719, Once Upon A Flame
720, The Saaga Restaurant
721, 1947 Restaurant
722, La Casa
723, Bene
724, Three Quarter Chinese
725, fat buddha
726, Kaapi Katte
727, Rajdhani Thali
728, Bricklane Grill
729, Gateway Hotel Restaurant
730, The Globe Grub
731, Here and Now
732, Eshanya
733, Shang Palace
734, Smokehouse Deli
735, Taiki
736, 100 Ft Boutique Restaurant
737, Asia Kitchen By Mainland China
738, Fort Kochi
739, The Sidewalk Cafe
740, Nagarjuna
741, Aioli BBQ & Grill
742, Shao
743, The Boozy Griffin
744, Jalpaan Restaurant
745, Anupam's Coast II Coast
746, Kobe Sizzlers
747, Feast
748, Nagarjuna Chimney
749, Nagarjuna Restaurant
750, JW Kitchen
751, Bangalore Mandarin
752, Nandhana Palace Koramangala
753, Brew and Barbeque - Microbrewery Pub
754, Mainland China Restaurant
755, Indian Paratha Company
756, Chulha Chowki Da Dhaba
757, Buff Buffet Buff
758, The Yogisthaan Cafe
759, Noodle bar
760, ALBA
761, Social Whitefield
762, Jalsa Gold Restaurant
763, Indian Kitchen
764, Hammered
765, Rajdhani Restaurant
766, Raghavendra Stores
767, Shezan
768, Kamat Restaurant
